Hungary_EarlyAvar:SZOD1-187.SG,0.055773,-0.274193,0.065242,0.007429,-0.053856,-0.01757,0.014806,0.016384,-0.004295,-0.002187,-0.008607,0.001199,-0.003568,-0.0139,0.007329,-0.002917,-0.005737,0.002154,0.006411,0.006128,-0.01148,0.000371,-0.011092,0.00012,0.008622
Kyrgyzstan_TianShan_Hun.SG:DA96_noUDG.SG,0.084229,-0.096475,0.041106,0.04199,-0.034468,0.004183,0.002585,0.000462,-0.012271,-0.014761,-0.008769,-0.001349,-0.000297,-0.022708,0.012758,0.001856,-0.007953,0.006208,0.002263,0.000125,-0.01697,0.000866,-0.003328,0.000964,-0.001916
Mongolia_Arkhangai_EarlyMedieval:OLN010,0.085367,-0.039606,-0.010936,0.007106,-0.043393,0.003068,0.00329,-0.001615,-0.023316,-0.020228,0.001137,-0.001649,-0.004608,-0.011836,0.00665,0.00769,0.000652,0.00266,-0.001885,-0.002376,-0.009858,0.001855,-0.001849,0.00494,0.002634
Mongolia_Arkhangai_EarlyMedieval_o:OLN009,0.062603,-0.156392,0.012445,-0.007429,-0.038469,-0.010319,0.00752,0.004154,-0.015544,-0.006925,-0.018512,0.001798,-0.000149,-0.012111,0.007465,0.005171,-0.009909,-0.001774,-0.000754,0.004627,-0.016097,0.004204,-0.009244,0.00241,0.000718
Mongolia_Arkhangai_EarlyMedieval:OLN012,0.079676,-0.093429,0.01961,0.000646,-0.049548,-0.004183,0.00141,0.001846,-0.01718,-0.016948,-0.016564,-0.001049,-0.003122,-0.014175,0.009636,0.010475,0.007693,0.004687,0.010182,-0.007879,-0.008984,0.004822,-0.002835,0.003615,0.001437
Mongolia_Arkhangai_XiongnuEarlyMedieval_2:BUR004,0.087644,-0.073118,0.026398,0.020026,-0.044624,0.003068,0.012221,-0.000692,-0.011658,-0.021504,-0.007632,-0.001499,-0.002676,-0.020506,0.00665,0.011403,0.002347,0.000633,0.009302,-0.003001,-0.016471,-0.009892,0.003697,0.006627,0.003473
Mongolia_Arkhangai_XiongnuEarlyMedieval_3:TUK003,0.05805,-0.246774,0.035449,0.014212,-0.041238,-0.005857,0.0094,0.005077,-0.010226,-0.018953,-0.04011,-0.004796,0.001487,-0.00578,0.006107,0.001193,-0.005085,-0.004434,-0.006159,-0.001876,-0.016097,0.012365,-0.001479,0.005784,0.00479
Mongolia_Khuvsgul_XiongnuLateMedieval_2:SKT012,0.062603,-0.270131,0.064488,0.013566,-0.057549,-0.020917,0.00752,0.006923,-0.002659,-0.005285,-0.023546,-0.005095,0.005649,-0.008395,0.009772,0.000928,-0.001695,0.00266,-0.004525,-0.000125,-0.021213,0.000247,-0.017748,0.004579,0.005628
Mongolia_Selenge_XiongnuLateMedieval:BRL002,0.05122,-0.225448,0.047894,-0.018734,-0.043085,-0.010319,0.015511,0.026999,-0.003886,0.00492,-0.018512,0.009591,-0.002973,-0.000138,0.015608,-0.001856,-0.007171,0.007981,0.011061,0.022761,-0.007362,-0.006925,-0.017871,-0.002169,-0.00455
Mongolia_Sukhbaatar_XiongnuLateMedieval:TAV011,0.062603,-0.22037,0.053551,0.01292,-0.050163,-0.018686,0.004935,0.008538,-0.00859,-0.006014,-0.022734,0.001798,0.002081,-0.013762,0.0076,-0.003447,-0.015907,0.000887,0.012193,0.004752,-0.013975,-0.00371,-0.008504,0,-0.000479
Hungary_Hun_oEastAsian:VZ-12673.SG,0.046667,-0.323954,0.058831,-0.001938,-0.046778,-0.018407,0.0047,0.006923,0.002863,-0.003827,-0.027606,-0.005995,0.001635,-0.009358,0.005293,0.003978,0.008345,-0.00076,0.001508,0.010005,-0.011854,-0.001237,-0.009613,0.000241,0.003712
Mongolia_Uvs_EIAXiongnuLateMedival_o:CHN014,0.05122,-0.253882,0.015839,-0.011951,-0.026159,0.000279,0.000235,0,-0.002045,0.003098,-0.020786,0.004346,0.003865,-0.000138,0.004207,0.00305,-0.003129,0.003041,-0.005405,-0.001376,-0.004742,0.000247,-0.003821,-0.002289,-0.001437
